US.AR.029,Conway County,Conway County,4106460,-92.70132,35.26221
US.AR.031,Craighead County,Craighead County,4106979,-90.63285,35.83079
US.AR.033,Crawford County,Crawford County,4107027,-94.24312,35.58883
US.AR.035,Crittenden County,Crittenden County,4107079,-90.30886,35.20794
US.AR.037,Cross County,Cross County,4107139,-90.77123,35.29573
US.AR.039,Dallas County,Dallas County,4107572,-92.65444,33.96983
US.AR.041,Desha County,Desha County,4108100,-91.25395,33.83333
US.AR.043,Drew County,Drew County,4108996,-91.72002,33.58945
US.AR.045,Faulkner County,Faulkner County,4110465,-92.33204,35.14698
US.AR.047,Franklin County,Franklin County,4111593,-93.89062,35.51235
US.AR.049,Fulton County,Fulton County,4111857,-91.81824,36.38167
US.AR.051,Garland County,Garland County,4112045,-93.15043,34.57669
US.AR.053,Grant County,Grant County,4112780,-92.42358,34.29002
US.AR.055,Greene County,Greene County,4113088,-90.55908,36.11769
US.AR.057,Hempstead County,Hempstead County,4114303,-93.66844,33.7353
US.AR.059,Hot Spring County,Hot Spring County,4115406,-92.94601,34.31763
US.AR.061,Howard County,Howard County,4115463,-93.99349,34.08874
US.AR.063,Independence County,Independence County,4115832,-91.56972,35.74158
US.AR.065,Izard County,Izard County,4116178,-91.91342,36.09487
US.AR.067,Jackson County,Jackson County,4116263,-91.21457,35.59923
US.AR.069,Jefferson County,Jefferson County,4116433,-91.93151,34.26879
US.AR.071,Johnson County,Johnson County,4116689,-93.45991,35.57005
US.AR.073,Lafayette County,Lafayette County,4117774,-93.60704,33.24098
US.AR.075,Lawrence County,Lawrence County,4118467,-91.10708,36.04125
US.AR.077,Lee County,Lee County,4118578,-90.78207,34.78062
US.AR.079,Lincoln County,Lincoln County,4118984,-91.73332,33.95747
US.AR.081,Little River County,Little River County,4119374,-94.23434,33.70054
US.AR.083,Logan County,Logan County,4119581,-93.71631,35.21527
US.AR.085,Lonoke County,Lonoke County,4119825,-91.88867,34.75427
US.AR.087,Madison County,Madison County,4120275,-93.72456,36.01096
US.AR.089,Marion County,Marion County,4120525,-92.68422,36.26835
US.AR.091,Miller County,Miller County,4121680,-93.89156,33.31215
US.AR.093,Mississippi County,Mississippi County,4121839,-90.05417,35.7639
US.AR.095,Monroe County,Monroe County,4121968,-91.20389,34.67784
US.AR.097,Montgomery County,Montgomery County,4121992,-93.65953,34.53879
US.AR.099,Nevada County,Nevada County,4123415,-93.30714,33.66397
US.AR.101,Newton County,Newton County,4123857,-93.21787,35.91997
US.AR.103,Ouachita County,Ouachita County,4125059,-92.88193,33.59336
US.AR.105,Perry County,Perry County,4125858,-92.93147,34.94737
US.AR.107,Phillips County,Phillips County,4126012,-90.84802,34.42829
US.AR.109,Pike County,Pike County,4126123,-93.65634,34.1635
US.AR.111,Poinsett County,Poinsett County,4126942,-90.66293,35.57404
US.AR.113,Polk County,Polk County,4127017,-94.22807,34.48584
US.AR.115,Pope County,Pope County,4127100,-93.03416,35.44763
US.AR.117,Prairie County,Prairie County,4127330,-91.55277,34.82979
