4046255,4076598:4084888:4058219:4061234:4088628:4830759:4091136:4088737:4054996:4086363:4057531:4073897:4078348
4046274,4739157:4720067:4700024:4692898
4046319,4076598:4084888:4440397:4058219:4427569:4093753:4061234:4436743:4093399:4425816:4064840:4429718:4084324:4430749:4058262:4429484:4449994
4046332,4707814:4703199:4741641:4741501:4716998:4706141:4737691:4735674:4714570
4046430,4705923:7261570:4718107:4698562:4829208:4701686:4720270:4679459:4708477:4680560:4732801:4703925:4739414
4046499,4087313:4065965:4098161:4065830:4065524:4065731:4082869:4059162:4073357
4046704,4140963:4744709:4744091:4369596:4751839:4372599:4755158:4348599:4781530:4349159:4347553:4373349:4772354:4366001:4363843:4768351:4749950:4744468:4771401:4367734
4046946,4776024:4756955:4762894:4793846:4779923:4761171:4786274:4751066:4761166:4755710:4783255:4771980:4788431:9036748
4047198,4049979:4067994:4095415:4829762:4048023:4067927:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4069243:4072130:4053050:4061206:4054852:4062774:4083846
4047734,4364326:4364312:4142643:4348460:4373153:4143690:4143354:4143698:4144620:4143459:4365634:4144284:4141435
4047827,4069659:4098161:4061586:4056920:4053671
4047906,4174757:4151316:4173838:4175538:4161580:4167545:4168630:4177727:7260219:4150118:4153759:4154280:4150115:4161534:4154008:4161313:4174969:4151157:4160822:4174855
4047914,4149962:4161785:4155995:4148533:4166195:4156920:4154568:4171782:4159805:4152639:4156601:4163833:4172052:4168095:4155996:4165576:4156006:4178111:4175319:4167127
4048023,4049979:4067994:4095415:4829762:4067927:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4069243:4072130:4053050:4061206:4054852:4062774:4083846:4075692
4048332,4288809:4291945:4295776:4528259:4291255:4286281:4302529:4507067:4511642:4518596:4517323:4519924:4510062:4513805:4519853:4302910:4290873:4291156:4508465:4292067
4048388,4299276:4259671:4262045:4255836:4308225:4309414:4255704:4264555:4264334:4264598:4262406:4254010:4256184:4257913:4258799:4257835:4256339
4048488,4277177:4277260
4048662,4300105:4244462:4294526:4300026:4305805:4283953:4286581:4297673:4297236:4239519:4308835
4048850,4343103:4330331:4338415:4321929:4335690
4048888,4341513:4317639:4333533:4323488:4327084:4326533:4317201:4316471:4342696:4338772:4341543:4337395:4320871:4335921
4049032,4347778:4140963:4352053:4369596:4356188:4354265:4353765:4367175:4348599:4355843:4371582:4349159:4347553:4373349:4369190:4363843:4350635:4354428:4347242:4357340
4049979,4067994:4095415:4829762:4048023:4067927:8605041:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4069243:4072130:4076842:4061206:4054852:4062774:4083846
4050006,4508722:4513575:4511283:4288809:4291945:4295776:4519995:4528259:4512060:4291255:4292071:4286281:4302529:4507067:4524499:4511642:4506754:4517140:4518596:4517323
4050118,4508722:4513575:4511283:4288809:4517698:4291945:4295776:4519995:4528259:4512060:4291255:4292071:4286281:4302529:4507067:4524499:4511642:4518550:4506754:4517140
4050356,4575352:4576573:4578841:4601475:4573209:4601335:4571470:4576268:4582263:4574514:4571725:4601336:4584007:4600375:4597573:4577653:4589786
4050655,8605041:4829791:4057835:4051059:4065649:4830455:4081671:4091542:4096404:4066065:4070806:4064548:4830707:4090700:4055815:4073504:4091755
4050879,4076784:4084796:4076239:4097257:4083073:4092853:4083414:4067862:4074568:4828090:4056837:4058543:4060176
4050880,4671654:4726491:4703811:4701458:4707295:4740584:4705041:4670783:4698809:4708989:4728052:4708016:4722065:4673132:4672494:4740928:4699304:4742503:4743274:4736420
4051059,4063619:4829791:4085336:4091058:4065649:4830455:4081671:4830768:4064310:4067623:4830707:4097588:4056381:4057731:4088704:4050655:4831176:4091755:4072156:4063613
4051669,4076771:4074673:4054566:4069722:4071540:4051971:4056017:4095294:4098518:4096956:4080395
4051714,4830759:4061064:4059831:4150517:4062595
4051774,4612862:4657633:4194202:4219964:4187446:4632892:4187696:4659005:4066844:4656589:4227012:4091859:4638144:4615851:4667608:4206783:4663110:4634474:4651214:4642403
4051894,4049979:4067994:4095415:4829762:4048023:4067927:8605041:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4082589:4069243:4072130:4076842:4053050:4061206
4051955,4049979:4067994:4095415:4048023:4067927:8605041:4082569:4078646:4094212:4054378:4066811:4068446:4069659:4063765:4069243:4072130:4076842:4061206:4062774:4083846
4051971,4094455:4048023:4080555:4068446:4051669:4067840:4047198:4054566:4077349:4072842:4071540:4056515:4056017:4092689:4095294:4086500:4098518:4096956:4080395
4052177,4094163:4081936:4828081:4055696:4073985:4069210:4055879:4079423

4052824,4830198:4081914:4092788:4082589:4069553:4088146:4085336:4091058:4072767:4064310:4829861:4081166:4066793:7260270:4096645:4055139:4072814:4830707:4086224:4830687
4052964,4049979:4067994:4095415:4829762:4048023:4067927:8605041:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4069243:4072130:4076842:4053050:4061206:4054852
